Kennziffer,Raumeinheit,Aggregat,Bevölkerung gesamt
8216,Rastatt,Landkreis,224687
8221,"Heidelberg, Stadt",kreisfreie Stadt,154715
8222,"Mannheim, Stadt",kreisfreie Stadt,299844
8225,Neckar-Odenwald-Kreis,Landkreis,141651
8226,Rhein-Neckar-Kreis,Landkreis,534729
8231,"Pforzheim, Stadt",kreisfreie Stadt,119291
8235,Calw,Landkreis,152766
8236,Enzkreis,Landkreis,193728
8237,Freudenstadt,Landkreis,115147
8311,"Freiburg im Breisgau, Stadt",kreisfreie Stadt,222203
8315,Breisgau-Hochschwarzwald,Landkreis,252749
8316,Emmendingen,Landkreis,159708
8317,Ortenaukreis,Landkreis,415639
8325,Rottweil,Landkreis,135912
8326,Schwarzwald-Baar-Kreis,Landkreis,206116
8327,Tuttlingen,Landkreis,134607
8335,Konstanz,Landkreis,275785
8336,Lörrach,Landkreis,223692
8337,Waldshut,Landkreis,165211
8415,Reutlingen,Landkreis,278031
8416,Tübingen,Landkreis,218355
8417,Zollernalbkreis,Landkreis,186360
8421,"Ulm, Stadt",kreisfreie Stadt,120714
8425,Alb-Donau-Kreis,Landkreis,189129
8426,Biberach,Landkreis,190438
8435,Bodenseekreis,Landkreis,209386
8436,Ravensburg,Landkreis,275339
8437,Sigmaringen,Landkreis,127716
9161,"Ingolstadt, Stadt",kreisfreie Stadt,131002
9162,"München, Stadt",kreisfreie Stadt,1429584
9163,"Rosenheim, Stadt",kreisfreie Stadt,60889
9171,Altötting,Landkreis,107465
9172,Berchtesgadener Land,Landkreis,102976
9173,Bad Tölz-Wolfratshausen,Landkreis,123340
9174,Dachau,Landkreis,146279
9175,Ebersberg,Landkreis,134873
9176,Eichstätt,Landkreis,127189
9177,Erding,Landkreis,131839
9178,Freising,Landkreis,170357
9179,Fürstenfeldbruck,Landkreis,210278
9180,Garmisch-Partenkirchen,Landkreis,85931
9181,Landsberg am Lech,Landkreis,116118
9182,Miesbach,Landkreis,96773
9183,Mühldorf a.Inn,Landkreis,110296
9184,München,Landkreis,332800
9185,Neuburg-Schrobenhausen,Landkreis,93505
9186,Pfaffenhofen a.d.Ilm,Landkreis,121594
9187,Rosenheim,Landkreis,251850
9188,Starnberg,Landkreis,131873
9189,Traunstein,Landkreis,171978
9190,Weilheim-Schongau,Landkreis,131190
9261,"Landshut, Stadt",kreisfreie Stadt,67509
